VulnerabilityID,PkgName,InstalledVersion,Severity,Status,FixedVersion,PrimaryURL
CVE-2011-3374,apt,3.0.3,LOW,affected,,https://avd.aquasec.com/nvd/cve-2011-3374
TEMP-0841856-B18BAF,bash,5.2.37-2+b9,LOW,affected,,https://security-tracker.debian.org/tracker/TEMP-0841856-B18BAF
CVE-2026-76642,bsdutils,1:2.41.5-0+deb13u1,HIGH,affected,,https://avd.aquasec.com/nvd/cve-2026-76642
CVE-2026-78408,bsdutils,1:2.41.5-0+deb13u1,HIGH,affected,,https://avd.aquasec.com/nvd/cve-2026-78408
CVE-2026-78409,bsdutils,1:2.41.5-0+deb13u1,HIGH,affected,,https://avd.aquasec.com/nvd/cve-2026-78409
CVE-2026-78410,bsdutils,1:2.41.5-0+deb13u1,HIGH,affected,,https://avd.aquasec.com/nvd/cve-2026-78410
CVE-2026-3184,bsdutils,1:2.41.5-0+deb13u1,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-3184
CVE-2022-0563,bsdutils,1:2.41.5-0+deb13u1,LOW,affected,,https://avd.aquasec.com/nvd/cve-2022-0563
CVE-2017-18018,coreutils,9.7-3,LOW,affected,,https://avd.aquasec.com/nvd/cve-2017-18018
CVE-2025-5278,coreutils,9.7-3,LOW,affected,,https://avd.aquasec.com/nvd/cve-2025-5278
CVE-2026-56391,coreutils,9.7-3,LOW,affected,,https://avd.aquasec.com/nvd/cve-2026-56391
CVE-2026-56392,coreutils,9.7-3,LOW,affected,,https://avd.aquasec.com/nvd/cve-2026-56392
CVE-2026-53910,diffutils,1:3.10-4,LOW,affected,,https://avd.aquasec.com/nvd/cve-2026-53910
CVE-2026-41992,gzip,1.13-1,HIGH,affected,,https://avd.aquasec.com/nvd/cve-2026-41992
CVE-2026-41991,gzip,1.13-1,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-41991
CVE-2026-54369,libacl1,2.3.2-2+b1,HIGH,affected,,https://avd.aquasec.com/nvd/cve-2026-54369
CVE-2026-54370,libacl1,2.3.2-2+b1,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-54370
CVE-2011-3374,libapt-pkg7.0,3.0.3,LOW,affected,,https://avd.aquasec.com/nvd/cve-2011-3374
CVE-2026-54371,libattr1,1:2.5.2-3,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-54371
CVE-2026-76642,libblkid1,2.41.5-0+deb13u1,HIGH,affected,,https://avd.aquasec.com/nvd/cve-2026-76642
CVE-2026-78408,libblkid1,2.41.5-0+deb13u1,HIGH,affected,,https://avd.aquasec.com/nvd/cve-2026-78408
CVE-2026-78409,libblkid1,2.41.5-0+deb13u1,HIGH,affected,,https://avd.aquasec.com/nvd/cve-2026-78409
CVE-2026-78410,libblkid1,2.41.5-0+deb13u1,HIGH,affected,,https://avd.aquasec.com/nvd/cve-2026-78410
CVE-2026-3184,libblkid1,2.41.5-0+deb13u1,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-3184
CVE-2022-0563,libblkid1,2.41.5-0+deb13u1,LOW,affected,,https://avd.aquasec.com/nvd/cve-2022-0563
CVE-2026-42250,libbz2-1.0,1.0.8-6,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-42250
CVE-2026-18374,libc-bin,2.41-12+deb13u3,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-18374
CVE-2026-19499,libc-bin,2.41-12+deb13u3,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-19499
CVE-2026-19542,libc-bin,2.41-12+deb13u3,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-19542
CVE-2026-5435,libc-bin,2.41-12+deb13u3,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-5435
CVE-2026-5450,libc-bin,2.41-12+deb13u3,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-5450
CVE-2026-5928,libc-bin,2.41-12+deb13u3,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-5928
CVE-2026-6238,libc-bin,2.41-12+deb13u3,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-6238
CVE-2026-6368,libc-bin,2.41-12+deb13u3,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-6368
CVE-2026-6791,libc-bin,2.41-12+deb13u3,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-6791
CVE-2026-77117,libc-bin,2.41-12+deb13u3,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-77117
CVE-2026-80489,libc-bin,2.41-12+deb13u3,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-80489
CVE-2010-4756,libc-bin,2.41-12+deb13u3,LOW,affected,,https://avd.aquasec.com/nvd/cve-2010-4756
CVE-2018-20796,libc-bin,2.41-12+deb13u3,LOW,affected,,https://avd.aquasec.com/nvd/cve-2018-20796
CVE-2019-1010022,libc-bin,2.41-12+deb13u3,LOW,affected,,https://avd.aquasec.com/nvd/cve-2019-1010022
CVE-2019-1010023,libc-bin,2.41-12+deb13u3,LOW,affected,,https://avd.aquasec.com/nvd/cve-2019-1010023
CVE-2019-1010024,libc-bin,2.41-12+deb13u3,LOW,affected,,https://avd.aquasec.com/nvd/cve-2019-1010024
CVE-2019-1010025,libc-bin,2.41-12+deb13u3,LOW,affected,,https://avd.aquasec.com/nvd/cve-2019-1010025
CVE-2019-9192,libc-bin,2.41-12+deb13u3,LOW,affected,,https://avd.aquasec.com/nvd/cve-2019-9192
CVE-2026-18374,libc6,2.41-12+deb13u3,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-18374
CVE-2026-19499,libc6,2.41-12+deb13u3,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-19499
CVE-2026-19542,libc6,2.41-12+deb13u3,MEDIUM,affected,,https://avd.aquasec.com/nvd/cve-2026-19542
